"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"583_473.26_3.6",583,473.264750196619,3.5895298,"C26H33NO6"
"585_415.21_3.7",585,415.211512665814,3.6595592,"C24H32O7"
"586_432.24_3.7",586,432.23815753171,3.67381,"C17H30N6O4S"
"589_137.05_3.7",589,137.045799680719,3.7384636,"C5H6N4O2"
"606_266.09_3.9",606,266.088407709264,3.8726256,"C10H19NO3S2"
"608_285.1_3.9",608,285.102460415993,3.8812385,"C11H10F5NO"
"609_284.1_3.9",609,284.098890268604,3.8818529,"C10H13N5O5"
"613_415.21_3.8",613,415.211512997552,3.8474863,"C17H27N5O4S"
"617_455.19_4",617,455.188563391324,3.9883049,"C18H26N6O8"
"620_228.1_4",620,228.097731390242,3.9948955,"C9H13N3O4"
"621_339.14_4",621,339.141124552388,3.9961154,"C13H18N6O5"
"623_224.1_4",623,224.096686056882,4.0062056,"C6H11FN4OS"
"624_223.09_4",624,223.093841992113,4.0059633,NA
"634_255.09_4.1",634,255.091003412626,4.1217628,"C10H14N4O2S"
"635_235.12_4.1",635,235.118916142747,4.1421976,"C11H14N4O2"
"643_325.09_4.2",643,325.087886923027,4.1544366,NA
"644_627.19_4.2",644,627.187267066064,4.1547666,"C22H32N6O14"
"645_174.04_4.2",645,174.03863382571,4.155303,"C7H8FNOS"
"646_152.06_4.2",646,152.056715325082,4.1554604,"C5H2N4O"
"647_135.03_4.2",647,135.030195207632,4.1559987,"C5H4N4O2"
"648_190.01_4.2",648,190.01261424709,4.156348,NA
"649_153.05_4.2",649,153.0539592881,4.1559873,NA
"650_153.06_4.2",650,153.059731556186,4.1563025,NA
"657_276.11_4.2",657,276.107818564234,4.162583,"C11H14O7"
"658_294.12_4.2",658,294.118262315828,4.163637,"C12H17N5O5"
"661_316.1_4.2",661,316.100195117496,4.166292,"C11H19NO8"
"665_268.1_4.2",665,268.104029708142,4.169696,"C10H13N5O4"
"667_290.09_4.2",667,290.085859727085,4.1766934,"C12H16FNO4S"
"668_306.06_4.2",668,306.059800412728,4.1752706,"C14H8O7"
"669_120.08_4.2",669,120.081047280676,4.1852217,"C8H6"
"670_166.09_4.2",670,166.086362373458,4.185872,"C9H11NO2"
"677_120.09_4.2",677,120.090690163066,4.229527,NA
"678_235.17_4.2",678,235.165258873684,4.2303944,"C10H22N2O4"
"680_257.15_4.2",680,257.14710999304,4.2323523,"C10H22N2O4"
"681_236.17_4.2",681,236.167996584795,4.2312055,"C11H22O2S"
"682_273.12_4.2",682,273.121025012408,4.2319384,"C10H22N2O4"
"686_156.04_4.2",686,156.042144691726,4.240009,NA
"687_140.07_4.2",687,140.068194627227,4.2413096,"C5H11NO2"
"695_248.09_4.4",695,248.087706207324,4.3815503,"C6H15F2N3O3S"
"697_415.21_4.4",697,415.211488003421,4.3832006,"C17H32N6O5S"
