formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C12H23NO4	[M + H3N + H]+	C12H27N2O4+	1.000	0.333	90.503	90.503	0.000	17	0.247	0.232	0.369	0.138		263.197	147	2.448	836961170117028052	836961011496834031	836961011496834030	267	
1	C15H23N3O4	[M + H3N + H]+	C15H27N4O4+	1.000	0.333	132.003	132.003	0.000	26	0.551	0.079	0.238	-4.513		327.201	147	2.452	836961176655948789	836961011463279595	836961011463279594	266	
1	C10H14O3	[M + H3N + H]+	C10H18NO3+	1.000	0.333	250.273	250.273	0.000	26	0.628	3.132	3.132	1.050		200.128	147	2.453	836961167298455617	836961011530388467	836961011530388466	268	
1	C30H46ClF2N3O4	[M + Na]+	C30H46ClF2N3NaO4+	0.327	0.482	86.990	86.990	0.000	32	0.746	-0.068	1.545	0.901		608.304	151	2.515	836961213393860925	836961011563942903	836961011563942902	269	
1	C10H19NO3	[M - H2O + H]+	C10H18NO2+	0.680	0.333	44.752	44.752	0.000	8	0.068	0.787	0.787	-97812.158		184.133	152	2.536	836961154015093879	836961011597497339	836961011597497338	270	
1	C10H16O4	[M + H3N + H]+	C10H20NO4+	0.777	0.333	75.432	75.432	0.000	16	0.859	5.451	5.451	0.392		218.139	153	2.544	836961339092968334	836961011664606211	836961011664606210	272	
1	C10H19NO3	[M + Na]+	C10H19NNaO3+	0.999	1.000	38.461	38.461	0.000	9	0.091	0.140	0.325	-0.086		224.126	156	2.601	836961165922723721	836961011631051775	836961011626857470	271	
1	C10H16O3	[M + H3N + H]+	C10H20NO3+	0.776	0.333	64.949	64.949	0.000	9	0.094	0.140	0.325	-0.371		202.144	156	2.603	836961155298550966	836961011731715083	836961011731715082	274	
1	C10H14O4	[M + H3N + H]+	C10H18NO4+	0.911	0.333	214.749	211.341	3.409	17	0.267	0.655	0.896	0.720		216.123	156	2.603	836961173506026148	836961011698160647	836961011698160646	273	
1	C11H24O4	[M + H3N + H]+	C11H28NO4+	0.992	0.991	45.456	45.456	0.000	11	0.172	0.250	0.329	-0.167		238.201	157	2.610	836961171366930813	836961011765269519	836961011765269518	275	
1	C9H20O4	[M + H]+	C9H21O4+	1.000	1.000	13.172	13.172	0.000	3	0.024	0.404	0.540	0.489		193.144	157	2.611	836961157672527183	836961011798823955	836961011798823954	276	
1	C11H14O3	[M + H3N + H]+	C11H18NO3+	0.981	0.333	95.310	95.310	0.000	14	0.162	0.137	0.272	0.519		212.128	158	2.634	836961161787139594	836961011828184087	836961011828184086	277	
1	C10H24ClN3O	[M + Na]+	C10H24ClN3NaO+	0.998	1.000	91.913	91.913	0.000	17	0.566	-0.952	2.906	-2.790		260.149	160	2.674	836961170435795220	836961011861738523	836961011861738522	278	
1	C18H33BN4O2S	[M + Na]+	C18H33BN4NaO2S+	0.830	0.986	104.161	104.161	0.000	38	0.685	-4.918	4.918	-0.634		402.234	161	2.678	836961182167264638	836961011895292959	836961011895292958	279	
1	C11H19NO3	[M + Na]+	C11H19NNaO3+	1.000	1.000	61.737	61.737	0.000	12	0.181	0.227	0.373	-0.060		236.126	161	2.684	836961182553140646	836961011928847395	836961011928847394	280	
1	C17H22N2O5	[M + H3N + H]+	C17H26N3O5+	0.999	0.333	92.574	89.355	3.219	12	0.760	-0.146	0.710	-0.220		352.187	163	2.712	836961177457060965	836961011966596135	836961011962401830	281	
1	C11H19NO3	[M + H]+	C11H20NO3+	0.384	0.333	70.476	70.476	0.000	14	0.185	0.272	0.302	0.187		214.144	168	2.806	836961329139884362	836961012016927787	836961012016927786	282	
1	C8H10	[M + H3N + H]+	C8H14N+	0.835	0.333	34.986	34.986	0.000	13	0.733	6.921	6.921	1.524		124.112	170	2.832	836961296952793767	836961012193088575	836961012193088574	287	
1	C8H12O	[M + H3N + H]+	C8H16NO+	1.000	0.333	130.849	130.849	0.000	15	0.208	6.552	6.552	0.031		142.123	170	2.832	836961167483005029	836961012230837315	836961012226643010	288	
1	C9H14O3	[M + H3N + H]+	C9H18NO3+	1.000	0.333	172.861	169.438	3.423	29	0.921	4.379	4.379	0.054		188.128	170	2.832	836961157458617666	836961012054676527	836961012050482222	283	
1	C9H12O2	[M + H3N + H]+	C9H16NO2+	1.000	0.333	237.658	234.298	3.360	31	0.522	5.459	5.459	-0.089		170.118	170	2.832	836961162449839710	836961012088230963	836961012088230962	284	
1	C11H21NO3	[M + H3N + H]+	C11H25N2O3+	0.996	0.333	89.540	86.216	3.324	9	0.494	0.441	0.818	-0.039		233.186	170	2.832	836961173208230516	836961012125979703	836961012125979702	285	
1	C9H17NO3	[M + Na]+	C9H17NNaO3+	0.413	0.482	16.736	13.374	3.362	4	0.074	2.041	2.041	0.456		210.110	170	2.832	836961194980864330	836961012159534139	836961012159534138	286	
