cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT
296	172.13319290919532	3.0152104	0	3437151.45	4240009.0	2704533.225	4462440.55	0	4433192.675	3488308.925	3163872.3	3758760.325	0	3437151.45	4240009.0	2704533.225	4462440.55
297	155.10670117206882	3.0163345	0	600653.325	770015.0525	490143.035	795637.8625	0	799113.7675000001	613342.5025	566828.52	677164.485	0	600653.325	770015.0525	490143.035	795637.8625
298	210.08917065907949	3.015516	0	143820.2675	277723.27749999997	94041.6875	209378.62	0	236538.48249999998	129769.25749999999	177710.7275	180945.385	0	143820.2675	277723.27749999997	94041.6875	209378.62
299	520.333164894584	3.0355904	0	774558.615	806538.61	709136.2125	771292.0449999999	0	883021.7375	656945.3125	734636.1225	786922.31	0	774558.615	806538.61	709136.2125	771292.0449999999
300	258.1700477526211	3.1278946	0	113953.9325	275733.64	85508.2425	192136.39	0	251688.0775	107010.0625	118772.8675	189861.1975	0	113953.9325	275733.64	85508.2425	192136.39
301	230.13870847744755	3.137334	0	301991.2425	741164.9075	321393.585	488522.2	0	662493.995	370453.5625	327539.52	492584.85750000004	0	301991.2425	741164.9075	321393.585	488522.2
302	529.6038659717041	3.139253	0	204709.105	0.0	189779.2675	123651.3575	0	82782.0875	177640.38999999998	96543.6075	161173.645	0	204709.105	0.0	189779.2675	123651.3575
303	321.1307476534866	3.1418285	0	187296.36	295722.7475	168938.325	420353.775	0	349587.66250000003	181508.0525	282093.9775	259121.515	0	187296.36	295722.7475	168938.325	420353.775
304	564.3593658372546	3.1478794	0	597399.25	577883.5750000001	550999.79	563467.6825	0	598417.45	548054.3150000001	505216.0075	638062.525	0	597399.25	577883.5750000001	550999.79	563467.6825
305	273.21724359882245	3.1757057	0	298001.53250000003	334198.8975	156009.72999999998	387243.345	0	385724.46499999997	224989.175	278814.2125	285925.65249999997	0	298001.53250000003	334198.8975	156009.72999999998	387243.345
306	250.1413576927144	3.1761298	0	428479.3575	600094.8975	363264.25	520362.17	0	514389.03750000003	479498.135	450972.23	467341.27249999996	0	428479.3575	600094.8975	363264.25	520362.17
307	210.1489275754097	3.1761298	0	406064.8075	490161.765	322707.69	510348.865	0	468475.9	421087.75749999995	404064.5375	435654.9325	0	406064.8075	490161.765	322707.69	510348.865
308	472.3131318842437	3.1832385	0	0.0	403903.7525	0.0	0.0	0	136943.95	73858.2575	125496.72	67604.825	0	0.0	403903.7525	0.0	0.0
309	324.2168094141643	3.2378416	0	0.0	177340.3625	58990.29	166384.2125	0	132233.885	97515.4	58990.29	113975.29	0	0.0	177340.3625	58990.29	166384.2125
310	608.3857644028033	3.2497559	0	449522.38	416982.64749999996	386013.15	470276.0225	0	431062.965	399853.775	406281.865	485595.59500000003	0	449522.38	416982.64749999996	386013.15	470276.0225
311	251.185296540922	3.3215082	0	312367.02249999996	307187.7775	219582.6	322289.3975	0	262641.59	341707.3125	298145.78	258932.115	0	312367.02249999996	307187.7775	219582.6	322289.3975
312	273.1672252735417	3.3230054	0	398803.5475	424332.0825	297905.525	401725.4375	0	344949.8775	449569.045	394901.14999999997	333346.52	0	398803.5475	424332.0825	297905.525	401725.4375
313	242.1386054922393	3.3435967	0	225263.38	564138.375	227537.11	431267.29500000004	0	441750.505	306544.165	265207.93	434703.56	0	225263.38	564138.375	227537.11	431267.29500000004
314	184.1332893740032	3.3459811	0	1918390.25	2581890.975	1561451.825	2628943.2	0	2513078.575	2147561.6500000004	1789372.875	2240663.15	0	1918390.25	2581890.975	1561451.825	2628943.2
315	206.11522474053004	3.3459811	0	1780808.725	3004227.225	1599376.5150000001	2553901.175	0	2646932.45	2144297.65	1867781.65	2279301.89	0	1780808.725	3004227.225	1599376.5150000001	2553901.175
316	229.19106507518492	3.3459811	0	973078.025	1076973.315	786005.6375	1207871.9	0	1138632.125	1018410.0	844027.5275000001	1042859.2250000001	0	973078.025	1076973.315	786005.6375	1207871.9
317	167.1067205601183	3.3453977	0	422925.0	562472.8724999999	334233.6675	600932.11	0	585569.81	463445.6325	424938.56	446609.64749999996	0	422925.0	562472.8724999999	334233.6675	600932.11
318	224.1259945659544	3.3644347	0	0.0	80542.735	82993.175	59337.66	0	80542.735	0.0	82993.175	59337.66	0	0.0	80542.735	82993.175	59337.66
319	344.2067378910775	3.4274707	0	994977.3	1074751.6	938863.775	829378.1799999999	0	986976.29	747337.265	976061.3500000001	1127595.95	0	994977.3	1074751.6	938863.775	829378.1799999999
320	339.702287461938	3.453138	0	0.0	538972.2925	0.0	0.0	0	168998.36	98825.2	187440.6	83708.1325	0	0.0	538972.2925	0.0	0.0
321	299.14890078848737	3.4662519	0	1120406.75	6442597.675	10260920.7	1276928.775	0	11855898.875	921903.125	5104118.825	1218933.075	0	1120406.75	6442597.675	10260920.7	1276928.775
322	321.13077451327047	3.4678648	0	1845904.15	2361377.325	6784309.3	6413655.0	0	7413949.0	1550658.875	2103442.5	6337195.4	0	1845904.15	2361377.325	6784309.3	6413655.0
323	398.0658096614607	3.4888017	0	1128284.53	1686842.1124999998	2962209.15	1861753.475	0	2293099.725	1708138.5425	1442593.515	2195257.485	0	1128284.53	1686842.1124999998	2962209.15	1861753.475
324	165.0757827092677	3.4832587	0	473523.525	2223413.825	6293298.125	3700871.7625	0	4013602.8200000003	2752229.38	2838774.475	3086500.5625	0	473523.525	2223413.825	6293298.125	3700871.7625
325	135.08051791964164	3.4916167	0	504463.745	6347253.109999999	5542032.335	3993550.45	0	4327258.0	5179990.1	3109130.8449999997	3770920.695	0	504463.745	6347253.109999999	5542032.335	3993550.45
326	619.2728771526749	3.510547	0	7739294.325	12894859.75	7907400.375	6096017.025	0	8806306.45	6633865.65	9609524.125	9587875.25	0	7739294.325	12894859.75	7907400.375	6096017.025
327	398.0658219997638	3.5090113	0	2566990.575	3134231.075	2575257.425	2403233.025	0	2777023.625	2367486.6	2788274.925	2746926.95	0	2566990.575	3134231.075	2575257.425	2403233.025
328	129.05475966783982	3.5095234	0	773911.335	1032449.26	837327.375	699966.5275	0	826378.6625	746718.765	897311.985	873245.085	0	773911.335	1032449.26	837327.375	699966.5275
329	147.06519108370483	3.5095234	0	783220.685	1027019.5874999999	801733.1025	695206.7775000001	0	795251.05	768700.9625	883949.1125	859279.0275000001	0	783220.685	1027019.5874999999	801733.1025	695206.7775000001
330	135.08051761784554	3.5095234	0	5846124.25	7447020.0	5679938.25	5216146.425	0	6328878.125	5285506.55	6285474.875	6289369.375	0	5846124.25	7447020.0	5679938.25	5216146.425
331	165.07578442795625	3.5095232	0	5463882.575	6933796.0	5324826.2	4840309.0	0	5913564.375	4960411.2	5850059.5	5838778.7	0	5463882.575	6933796.0	5324826.2	4840309.0
