cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT	component	#Scan#	Compound_Name
968	231.21790095195945	9.139454	0	223636.605	192821.755	169745.16749999998	237051.58	0	153045.3825	204998.68	138794.99	326416.055	0	223636.605	192821.755	169745.16749999998	237051.58	14		
969	131.129228010984	9.189827	0	0.0	327401.775	407704.79	0.0	0	115619.95	340766.275	211781.825	66938.515	0	0.0	327401.775	407704.79	0.0	-1		
970	196.1420534148768	9.177011	0	2105051.775	0.0	1901431.3	1622538.525	0	2119271.95	965370.125	1430205.35	1114174.175	0	2105051.775	0.0	1901431.3	1622538.525	-1		
971	189.1788169495084	9.268522	0	2176859.1	0.0	2198450.875	1566215.1	0	1584250.55	1260483.475	1478383.175	1618407.875	0	2176859.1	0.0	2198450.875	1566215.1	-1		
972	161.17827795106408	9.282402	0	203108.72	138413.01499999998	137320.215	224074.73	0	138026.1925	140362.91499999998	142862.515	281665.0575	0	203108.72	138413.01499999998	137320.215	224074.73	62		
973	210.1577106026212	9.207657	0	955660.25	0.0	934564.84	595844.5575	0	753301.49	504838.5625	666714.5325	561215.0625	0	955660.25	0.0	934564.84	595844.5575	-1		
974	188.17574657836457	9.24575	0	21578039.5	694135.9099999999	22815528.0	15898044.75	0	16091897.925	12972318.8	15219420.735	16702110.7	0	21578039.5	694135.9099999999	22815528.0	15898044.75	2		
975	131.12922890069203	9.202873	0	0.0	117642.905	382762.015	0.0	0	0.0	315823.5	117642.905	66938.515	0	0.0	117642.905	382762.015	0.0	-1		
976	231.2179018906704	9.30804	0	206924.355	224324.26	163765.375	156817.10499999998	0	163882.91499999998	210816.5975	62589.995	314541.5875	0	206924.355	224324.26	163765.375	156817.10499999998	14		
977	133.09723685677972	9.271794	0	0.0	398952.3000000001	187961.5275	0.0	0	94545.14	150939.0675	132911.325	208518.295	0	0.0	398952.3000000001	187961.5275	0.0	-1		
978	174.19632218533678	9.28863	0	525382.225	983737.9725	514167.135	520436.9125	0	625252.6174999999	607309.03	603285.0875	707877.51	0	525382.225	983737.9725	514167.135	520436.9125	2		
979	275.2077806535751	9.315321	0	0.0	476388.3725	0.0	0.0	0	105281.4	175829.325	81549.405	113728.2425	0	0.0	476388.3725	0.0	0.0	14		
980	1167.4039100489465	9.315885	0	0.0	858702.9	0.0	0.0	0	245516.36	152701.64	249136.575	211348.325	0	0.0	858702.9	0.0	0.0	57		
981	573.2148170078099	9.31707	0	0.0	1976627.325	0.0	0.0	0	572135.95	369191.85	570699.75	464599.775	0	0.0	1976627.325	0.0	0.0	33		
982	1145.422033411514	9.322293	0	0.0	3473665.325	0.0	0.0	0	1070463.25	607507.5	979068.95	816625.625	0	0.0	3473665.325	0.0	0.0	21		
983	147.11272879251464	9.315313	0	0.0	356294.1425	0.0	0.0	0	97516.985	62355.5825	107408.275	89013.3	0	0.0	356294.1425	0.0	0.0	22		
984	1146.4250358441943	9.317641	0	0.0	1865405.9	0.0	0.0	0	553676.3	331356.5	519015.5	461357.6	0	0.0	1865405.9	0.0	0.0	21		
985	1147.4276617721002	9.317641	0	0.0	628517.025	0.0	0.0	0	187451.225	113229.8125	173866.05	153969.9375	0	0.0	628517.025	0.0	0.0	21		
986	161.1782753845284	9.306588	0	205048.9225	136661.465	148535.2225	218496.63	0	139113.28999999998	141654.2975	137284.41499999998	290690.2375	0	205048.9225	136661.465	148535.2225	218496.63	62		
987	1032.3744060994993	9.399966	0	0.0	2590219.6	0.0	0.0	0	826663.5	367807.3	854953.55	540795.25	0	0.0	2590219.6	0.0	0.0	21		
988	182.12638834412647	9.400516	0	0.0	0.0	102899.015	0.0	0	0.0	102899.015	0.0	0.0	0	0.0	0.0	102899.015	0.0	-1		
989	1054.3561411344067	9.401847	0	0.0	575226.235	0.0	0.0	0	182344.89	82223.345	187257.61	123400.39	0	0.0	575226.235	0.0	0.0	57		
990	1076.3380134004012	9.404784	0	0.0	206133.1	0.0	0.0	0	72754.07	0.0	75917.32	57461.71	0	0.0	206133.1	0.0	0.0	-1		
991	174.160117654077	9.433755	0	15960826.5	1109284.29	17159663.25	13949093.0	0	14310909.225	10330446.39	11191441.275	12346070.15	0	15960826.5	1109284.29	17159663.25	13949093.0	2		
992	202.15504727661065	9.447837	0	295405.1725	0.0	276153.2675	193198.1475	0	156127.325	155382.375	220954.34	232292.5475	0	295405.1725	0.0	276153.2675	193198.1475	2		
993	156.1496620794725	9.449993	0	2311782.275	0.0	2512273.025	2076403.95	0	2056736.675	1503133.05	1540961.45	1799628.075	0	2311782.275	0.0	2512273.025	2076403.95	2		
994	157.1336984786827	9.443168	0	3935313.95	235028.845	4190330.375	3457266.325	0	3558998.6725	2564696.41	2623842.255	3070402.1575	0	3935313.95	235028.845	4190330.375	3457266.325	2		
995	157.15266864465357	9.44721	0	74294.445	0.0	122128.4	63682.71	0	74294.445	65406.3175	0.0	120404.7925	0	74294.445	0.0	122128.4	63682.71	2		
996	174.1601227639098	9.4478035	0	16693585.75	1014481.825	17434058.5	14170323.875	0	14598933.55	10669438.975	11473833.225	12570244.2	0	16693585.75	1014481.825	17434058.5	14170323.875	2		
997	654.2412947531151	9.520323	0	0.0	1204948.25	0.0	0.0	0	361099.65	206017.675	372219.625	265611.3	0	0.0	1204948.25	0.0	0.0	33		
998	1307.475126116411	9.526215	0	0.0	851227.1875	0.0	0.0	0	262730.125	145174.9375	250038.25	193283.875	0	0.0	851227.1875	0.0	0.0	21		
